seiban,fX,fY
ZZ0085：三友道路（株）：AP他社プラント,145.02798,43.59074
ZZ0008：サロベツアスコン：AP他社プラント,141.8018,45.07726
SA-518：（株）そうけん：ＴＫ－８００　（砂乾燥装置として使用）,144.11739,44.09105
SA2911：（有）丸駒エイシン：ＮＡＰ・ＢＤ－８００ＡＢ,141.35268,42.9553
ZZ1962：札幌共同アスコン（株）　札幌合材工場：AP他社プラント,141.41324,43.08615
DM1002：東亜道路工業（株）　札幌リサイクル工場：ＤＭ－１００ NEXTSL,141.41324,43.08615
SA2597：日本道路（株）　函館工場　函館東山アスコン：Ａ・ＴＯＭ－６００　NEXT,140.78749,41.82752
SA2526：渡島アスコン　世紀東急工業（株）　函館工場：NAP・BD-800AB→TSAP-1000+TRD-30　DUO,140.67157,41.92904
ZZ1958：大林道路（株）　函館アスファルト混合所：AP他社プラント,140.8232,41.77504
SA3427：（株）道南土木　桧山共同アスコン：ABD-1000CWN+RK装置（既設品転用改造）　LETS,140.13927,41.87498
SJ0028：大同舗道（株）　奥尻事業所：NP1000CR・CBU15,139.4859,42.09501
SA-828：鹿島道路（株）　京極発電所　マスチックAS製造プラント：マスチックＡＳ製造プラント,140.93221,42.92508
SA2796：岩内アスコン　（三井住建道路（株））：NAP・BD-800AW + NRP45CB　DUO,140.52768,42.99686
ZZ0102：（有）中野産業：AP他社プラント,140.63899,42.8293
SA3011：羊蹄アスコン：ＮＡＰ・ＢＤ－１６００ＭＢＶ ARVO,140.68568,42.78908
SA3052：道路工業（株）　北海道横断自動車道　余市小樽舗装工事：ＮＡＰ－３０００ＡＢＶ　EXA,140.85915,43.18517
SA2829：小樽アスコン：ＮＡＰ・ＢＤ－１６００ＣＭＰ ARVO,140.94431,43.21875
SA2052：共同企業体　エコプラザ函館　アスファルト合材工場：NAP-1000AB→TSAP-1500+TRD60,140.6848,41.83112
SA-784：函館アスコン：ＴＯＰ４５－３０ＡＬ　NEXT,140.6848,41.83112
SA2140：（株）ガイアート　知内合材工場：ＮＡＰ－８００ＡＢＵ DUO,140.39908,41.63065
ZZ1963：ツバメ工業（株）　八雲事業所　八雲アスファルトプラント：AP他社プラント,140.26933,42.26817
ZZ0010：北工建設（株）　アスファルト合材プラント：AP他社プラント,139.95956,42.4421
ZZ0098：洞爺アスコン：AP他社プラント　（SPECO）TSAP-1000FAV,140.70473,42.59059
ZZ0151：道路建設（株）　苫小牧工事事務所：AP他社プラント,141.63898,42.66912
SA2680：世紀東急工業（株）　鵡川合材工場：ＮＡＰ・ＢＤ－１０００ＡＢｄ　DUO,141.89189,42.58472
ZZ0020：日拓舗道（株）　日高アスコン：AP他社プラント,142.10634,42.57877
ZZ1961：さくら佐藤建設（株）　御園プラント：AP他社プラント,142.4762,42.43142
SA-570：日高天馬アスコン共同企業体：ＮＡＰ・ＢＤ－８００ＡＢＵ ARVO,142.83781,42.15911
SA3595：イブリアスコン：ABD-1600CBA＋（既設）TRD60＋100＋120型合材サイロ　ARVO,141.09224,42.39636
SA-536：苫小牧グリーンアスコン（株）：NP1000A　廃棄？,141.76013,42.67771
ZZ0027：苫小牧グリーンアスコン（株）：AP他社プラント,141.76013,42.67771
SA8059：苫小牧グリーンアスコン（株）：TAP-1500,141.76013,42.67771
SA3008：苫東アスコン：NAP・BD-1000MBV+TOP45+220形合材サイロ ARVO,141.70445,42.65697
SA2013：たるまえアスコン：ＮＡＰ－８００ＡＷ,141.70445,42.65697
SA2843：たるまえアスコン：ＮＡＰ・ＢＤ－１３００ＭＷＵ　ARVO,141.70445,42.65697
