seiban,fX,fY,prefectures
道北グリーンアスコン　第2工場,142.38438,43.67924,01北海道
さくら佐藤建設（株）　御園プラント,142.4762,42.43142,01北海道
大林道路（株）　函館アスファルト混合所,140.8232,41.77504,01北海道
別海アスコン,145.17949,43.37447,01北海道
鹿島道路（株）　石狩アスコン,141.29936,43.19285,01北海道
植村建設（株）　エルムアスコン,142.03755,43.56808,01北海道
遠軽舗道（株）,143.51283,44.09861,01北海道
河西建設（株）　アスファルトプラント,143.97736,43.92482,01北海道
美幌アスコン共同企業体,144.12756,43.80744,01北海道
共立道路（株）,141.83939,43.02139,01北海道
（株）ガイアート　知内合材工場,140.39908,41.63065,01北海道
南宗谷アスコン,142.36572,45.13618,01北海道
あすなろ道路（株）　標茶工事事務所,144.58861,43.29739,01北海道
三友道路（株）,145.02798,43.59074,01北海道
札幌西アスコン,141.28964,43.10853,01北海道
世紀東急工業（株）　鵡川合材工場,141.89189,42.58472,01北海道
世紀東急工業（株）　豊頃合材工場,143.44337,42.82576,01北海道
大同舗道（株）　奥尻事業所,139.4859,42.09501,01北海道
札幌中央アスコン,141.25647,43.04448,01北海道
苫東アスコン,141.70445,42.65697,01北海道
大成ロテック（株）　門別合材工場,142.23346,42.50196,01北海道
大成ロテック（株）　遠別合材工場,141.79356,44.73249,01北海道
大成ロテック（株）　弟子屈合材工場,144.47195,43.51076,01北海道
（株）玉川組　北海道アスコン,141.53156,42.86285,01北海道
ツバメ工業（株）　八雲事業所　八雲アスファルトプラント,140.26933,42.26817,01北海道
札幌共同アスコン（株）　札幌合材工場,141.41324,43.08615,01北海道
東光舗道（株）　帯広アスコン,143.22917,42.89723,01北海道
（株）道南土木　桧山共同アスコン,140.13927,41.87498,01北海道
きたひろアスコン　合材工場,141.54343,43.00439,01北海道
たるまえアスコン,141.70445,42.65697,01北海道
オーシャンアスコン　道路建設（株）　新冠合材工場,142.31847,42.3884,01北海道
道路建設（株）　旭川工事事務所,142.48303,43.61607,01北海道
道路建設 （株）　網走アスファルト混合所,144.19865,43.94392,01北海道
はくちょうアスコン　道路建設（株）幕別工場,143.38095,42.90679,01北海道
ライラックアスコン共同企業体,141.36992,42.98698,01北海道
洞爺アスコン,140.70473,42.59059,01北海道
知床アスコン,144.68884,43.85254,01北海道
道路工業（株）　帯広合材工場,143.21294,42.98877,01北海道
サッポロアスコン,141.48633,42.95854,01北海道
小樽アスコン,140.94431,43.21875,01北海道
日本道路（株）　函館工場　函館東山アスコン,140.78749,41.82752,01北海道
平原アスコン　合材工場,144.90189,43.43186,01北海道
（株）リサイクルグリーン北海道　江別合材工場,141.50957,43.12946,01北海道
函館アスコン,140.6848,41.83112,01北海道
（株）道北鋪道　道北グリーンアスコン,142.3821,43.68402,01北海道
北海舗道（株）,142.43604,44.40908,01北海道
（株）円輪建設　端野合材工場,144.01901,43.89952,01北海道
（株）リサイクルグリーン北海道　帯広合材工場,143.22917,42.89723,01北海道
陽伸工業（株）　釧路合材工場,144.44252,42.99825,01北海道
陽伸工業（株）　根室グリーンアスコン,145.24478,43.26364,01北海道
東日本冨士新道路（株）　帯広事業所,143.1777,42.81532,01北海道
