seiban,fX,fY,prefectures
SB3200：（株）ハタナカ昭和　岩見沢工場：DASH-H275EvoⅢ150R-TRIU DSH-275,141.79565,43.24153,01北海道
SN1767：（株）ホッコン　石狩工場：BP他社プラント　it'-B REAL操作盤入替　ITBR,141.33009,43.19719,01北海道
SB3208：（株）田村工業　赤井川工場：DASH-H275EvoⅢ150R-TRIU　DSH-275,140.91382,43.08563,01北海道
SB3226：日鉄鉱道南興発（株）　倶知安生コンクリート工場：DASH-H275EvoⅢ150R-TRIU　DSH-275,140.73329,42.92738,01北海道
SB2534：大野アサノコンクリート（株）　本社工場：ＮＲＡⅢ－１７α－２５０Ｐ－７　TRIU　DSH225,140.57274,41.94913,01北海道
SB2436：（株）ホッコン　札幌工場：Ⅳ－２０Ｓ－３００Ｐ－７　DSF-330　SITB,141.28641,43.11213,01北海道
SN2075：（株）ハタナカ昭和　札幌生コン工場：BP他社プラント　セメント空気輸送設備　DASH-Hyper-275　CyberAdvance　ADV,141.30978,43.14265,01北海道
ZZ1935：（株）旭ダンケ　紋別工場：BP他社プラント,143.29163,44.38597,01北海道
SB3216：（株）旭ダンケ　帯広第一工場：DASH-H225EvoⅢ150T-TRIU　DSH-225,143.24382,42.92608,01北海道
SN1200：（株）コンドウ生コンクリート　岩見沢：BP他社プラント　ミキサ、投入、ミキサ洗浄装置、CH洗浄装置　SITB,141.70312,43.19577,01北海道
SN1095：（株）旭ダンケ　札幌工場：BP他社プラント　ミキサ(DSF-275)操作盤（SITB）,141.30779,43.19005,01北海道
ZZ0003：河野採石工業（株）　釧路生コン工場：BP他社プラント,144.43169,43.01144,01北海道
SN1365：和工生コンクリート（株）：BP他社プラント　TRINITY操作盤　ＮＳＬ,139.84795,42.43259,01北海道
SB2907：日鉄鉱道南興発（株）　虻田生コンクリート工場：ＤＡＳＨ－１６７Ｂ２ＩＴＢ,140.77737,42.53503,01北海道
SN1196：地崎道路（株）　千歳工場　（ニレミックス）：BP他社プラント　170KBTS-7D-3000-ITB-BP　ＳＩＴＢ,141.70302,42.7675,01北海道
SB3158：札幌生コン（株）：DASH-N225EvoⅢ150R-TRI　TRIU　200N-225,141.41049,43.12556,01北海道
SN1088：北海羽田コンクリート（株）　長沼工場：BP他社プラント　DSF-n167　ＩＴＢＪ　計量器入替済み,141.69817,43.01672,01北海道
SB3168：（株）野田工業：DASH-N167EvoⅡ095T-ItsB　ITBP　200N-167,141.27313,43.03577,01北海道
